CountyState_FIPS,County_Name_wState_Abbreviation,State,COUNTYNM,Level_of_Maternity_Care_0mcd_1Low_2mod_3access,Level_of_Maternity_Care_Label,GroupLevel,MapGeoColor,MapGeoId,MapGeoInfo
1071,"Jackson, Alabama",Alabama,Jackson,3,Access to Maternity Care,GroupLevel3,3,01071,Level of Maternity Care: Access to Maternity Care
1073,"Jefferson, Alabama",Alabama,Jefferson,3,Access to Maternity Care,GroupLevel3,3,01073,Level of Maternity Care: Access to Maternity Care
1075,"Lamar, Alabama",Alabama,Lamar,0,Maternity Care Desert,GroupLevel0,0,01075,Level of Maternity Care: Maternity Care Desert
1077,"Lauderdale, Alabama",Alabama,Lauderdale,3,Access to Maternity Care,GroupLevel3,3,01077,Level of Maternity Care: Access to Maternity Care
1079,"Lawrence, Alabama",Alabama,Lawrence,0,Maternity Care Desert,GroupLevel0,0,01079,Level of Maternity Care: Maternity Care Desert
1081,"Lee, Alabama",Alabama,Lee,3,Access to Maternity Care,GroupLevel3,3,01081,Level of Maternity Care: Access to Maternity Care
1083,"Limestone, Alabama",Alabama,Limestone,1,Low Access to Care,GroupLevel1,1,01083,Level of Maternity Care: Low Access to Care
1085,"Lowndes, Alabama",Alabama,Lowndes,0,Maternity Care Desert,GroupLevel0,0,01085,Level of Maternity Care: Maternity Care Desert
1087,"Macon, Alabama",Alabama,Macon,3,Access to Maternity Care,GroupLevel3,3,01087,Level of Maternity Care: Access to Maternity Care
1089,"Madison, Alabama",Alabama,Madison,3,Access to Maternity Care,GroupLevel3,3,01089,Level of Maternity Care: Access to Maternity Care
1091,"Marengo, Alabama",Alabama,Marengo,1,Low Access to Care,GroupLevel1,1,01091,Level of Maternity Care: Low Access to Care
1093,"Marion, Alabama",Alabama,Marion,0,Maternity Care Desert,GroupLevel0,0,01093,Level of Maternity Care: Maternity Care Desert
1095,"Marshall, Alabama",Alabama,Marshall,3,Access to Maternity Care,GroupLevel3,3,01095,Level of Maternity Care: Access to Maternity Care
1097,"Mobile, Alabama",Alabama,Mobile,3,Access to Maternity Care,GroupLevel3,3,01097,Level of Maternity Care: Access to Maternity Care
1099,"Monroe, Alabama",Alabama,Monroe,3,Access to Maternity Care,GroupLevel3,3,01099,Level of Maternity Care: Access to Maternity Care
1101,"Montgomery, Alabama",Alabama,Montgomery,3,Access to Maternity Care,GroupLevel3,3,01101,Level of Maternity Care: Access to Maternity Care
1103,"Morgan, Alabama",Alabama,Morgan,3,Access to Maternity Care,GroupLevel3,3,01103,Level of Maternity Care: Access to Maternity Care
1105,"Perry, Alabama",Alabama,Perry,3,Access to Maternity Care,GroupLevel3,3,01105,Level of Maternity Care: Access to Maternity Care
1107,"Pickens, Alabama",Alabama,Pickens,0,Maternity Care Desert,GroupLevel0,0,01107,Level of Maternity Care: Maternity Care Desert
1109,"Pike, Alabama",Alabama,Pike,0,Maternity Care Desert,GroupLevel0,0,01109,Level of Maternity Care: Maternity Care Desert
1111,"Randolph, Alabama",Alabama,Randolph,0,Maternity Care Desert,GroupLevel0,0,01111,Level of Maternity Care: Maternity Care Desert
1113,"Russell, Alabama",Alabama,Russell,1,Low Access to Care,GroupLevel1,1,01113,Level of Maternity Care: Low Access to Care
1115,"Saint Clair, Alabama",Alabama,Saint Clair,0,Maternity Care Desert,GroupLevel0,0,01115,Level of Maternity Care: Maternity Care Desert
1117,"Shelby, Alabama",Alabama,Shelby,3,Access to Maternity Care,GroupLevel3,3,01117,Level of Maternity Care: Access to Maternity Care
1119,"Sumter, Alabama",Alabama,Sumter,0,Maternity Care Desert,GroupLevel0,0,01119,Level of Maternity Care: Maternity Care Desert
1121,"Talladega, Alabama",Alabama,Talladega,3,Access to Maternity Care,GroupLevel3,3,01121,Level of Maternity Care: Access to Maternity Care
1123,"Tallapoosa, Alabama",Alabama,Tallapoosa,3,Access to Maternity Care,GroupLevel3,3,01123,Level of Maternity Care: Access to Maternity Care
1125,"Tuscaloosa, Alabama",Alabama,Tuscaloosa,3,Access to Maternity Care,GroupLevel3,3,01125,Level of Maternity Care: Access to Maternity Care
1127,"Walker, Alabama",Alabama,Walker,3,Access to Maternity Care,GroupLevel3,3,01127,Level of Maternity Care: Access to Maternity Care
1129,"Washington, Alabama",Alabama,Washington,0,Maternity Care Desert,GroupLevel0,0,01129,Level of Maternity Care: Maternity Care Desert
1131,"Wilcox, Alabama",Alabama,Wilcox,0,Maternity Care Desert,GroupLevel0,0,01131,Level of Maternity Care: Maternity Care Desert
1133,"Winston, Alabama",Alabama,Winston,0,Maternity Care Desert,GroupLevel0,0,01133,Level of Maternity Care: Maternity Care Desert
2013,"Aleutians East, Alaska",Alaska,Aleutians East,0,Maternity Care Desert,GroupLevel0,0,02013,Level of Maternity Care: Maternity Care Desert
2016,"Aleutians West, Alaska",Alaska,Aleutians West,0,Maternity Care Desert,GroupLevel0,0,02016,Level of Maternity Care: Maternity Care Desert
2020,"Anchorage, Alaska",Alaska,Anchorage,3,Access to Maternity Care,GroupLevel3,3,02020,Level of Maternity Care: Access to Maternity Care
2050,"Bethel, Alaska",Alaska,Bethel,3,Access to Maternity Care,GroupLevel3,3,02050,Level of Maternity Care: Access to Maternity Care
2060,"Bristol Bay, Alaska",Alaska,Bristol Bay,0,Maternity Care Desert,GroupLevel0,0,02060,Level of Maternity Care: Maternity Care Desert
2068,"Denali, Alaska",Alaska,Denali,0,Maternity Care Desert,GroupLevel0,0,02068,Level of Maternity Care: Maternity Care Desert
2070,"Dillingham, Alaska",Alaska,Dillingham,3,Access to Maternity Care,GroupLevel3,3,02070,Level of Maternity Care: Access to Maternity Care
2090,"Fairbanks North Star, Alaska",Alaska,Fairbanks North Star,3,Access to Maternity Care,GroupLevel3,3,02090,Level of Maternity Care: Access to Maternity Care
2100,"Haines, Alaska",Alaska,Haines,0,Maternity Care Desert,GroupLevel0,0,02100,Level of Maternity Care: Maternity Care Desert
2105,"Hoonah-Angoon, Alaska",Alaska,Hoonah-Angoon,0,Maternity Care Desert,GroupLevel0,0,02105,Level of Maternity Care: Maternity Care Desert
2110,"Juneau, Alaska",Alaska,Juneau,3,Access to Maternity Care,GroupLevel3,3,02110,Level of Maternity Care: Access to Maternity Care
2122,"Kenai Peninsula, Alaska",Alaska,Kenai Peninsula,3,Access to Maternity Care,GroupLevel3,3,02122,Level of Maternity Care: Access to Maternity Care
2130,"Ketchikan Gateway, Alaska",Alaska,Ketchikan Gateway,3,Access to Maternity Care,GroupLevel3,3,02130,Level of Maternity Care: Access to Maternity Care
2150,"Kodiak Island, Alaska",Alaska,Kodiak Island,3,Access to Maternity Care,GroupLevel3,3,02150,Level of Maternity Care: Access to Maternity Care
2270,"Kusilvak, Alaska",Alaska,Kusilvak,0,Maternity Care Desert,GroupLevel0,0,02270,Level of Maternity Care: Maternity Care Desert
2164,"Lake and Peninsula, Alaska",Alaska,Lake and Peninsula,0,Maternity Care Desert,GroupLevel0,0,02164,Level of Maternity Care: Maternity Care Desert
2170,"Matanuska Susitna, Alaska",Alaska,Matanuska Susitna,3,Access to Maternity Care,GroupLevel3,3,02170,Level of Maternity Care: Access to Maternity Care
2180,"Nome, Alaska",Alaska,Nome,3,Access to Maternity Care,GroupLevel3,3,02180,Level of Maternity Care: Access to Maternity Care
2185,"North Slope, Alaska",Alaska,North Slope,3,Access to Maternity Care,GroupLevel3,3,02185,Level of Maternity Care: Access to Maternity Care
2188,"Northwest Arctic, Alaska",Alaska,Northwest Arctic,3,Access to Maternity Care,GroupLevel3,3,02188,Level of Maternity Care: Access to Maternity Care
2195,"Petersburg Census Area, Alaska",Alaska,Petersburg Census Area,0,Maternity Care Desert,GroupLevel0,0,02195,Level of Maternity Care: Maternity Care Desert
2198,"Prince Of Wales Hyder, Alaska",Alaska,Prince Of Wales Hyder,0,Maternity Care Desert,GroupLevel0,0,02198,Level of Maternity Care: Maternity Care Desert
2220,"Sitka, Alaska",Alaska,Sitka,3,Access to Maternity Care,GroupLevel3,3,02220,Level of Maternity Care: Access to Maternity Care
2230,"Skagway, Alaska",Alaska,Skagway,0,Maternity Care Desert,GroupLevel0,0,02230,Level of Maternity Care: Maternity Care Desert
2240,"Southeast Fairbanks, Alaska",Alaska,Southeast Fairbanks,0,Maternity Care Desert,GroupLevel0,0,02240,Level of Maternity Care: Maternity Care Desert
2261,"Valdez Cordova, Alaska",Alaska,Valdez Cordova,3,Access to Maternity Care,GroupLevel3,3,02261,Level of Maternity Care: Access to Maternity Care
2275,"Wrangell, Alaska",Alaska,Wrangell,0,Maternity Care Desert,GroupLevel0,0,02275,Level of Maternity Care: Maternity Care Desert
2282,"Yakutat, Alaska",Alaska,Yakutat,0,Maternity Care Desert,GroupLevel0,0,02282,Level of Maternity Care: Maternity Care Desert
2290,"Yukon Koyukuk, Alaska",Alaska,Yukon Koyukuk,0,Maternity Care Desert,GroupLevel0,0,02290,Level of Maternity Care: Maternity Care Desert
4001,"Apache, Arizona",Arizona,Apache,3,Access to Maternity Care,GroupLevel3,3,04001,Level of Maternity Care: Access to Maternity Care
4003,"Cochise, Arizona",Arizona,Cochise,3,Access to Maternity Care,GroupLevel3,3,04003,Level of Maternity Care: Access to Maternity Care
4005,"Coconino, Arizona",Arizona,Coconino,3,Access to Maternity Care,GroupLevel3,3,04005,Level of Maternity Care: Access to Maternity Care
4007,"Gila, Arizona",Arizona,Gila,3,Access to Maternity Care,GroupLevel3,3,04007,Level of Maternity Care: Access to Maternity Care
4009,"Graham, Arizona",Arizona,Graham,3,Access to Maternity Care,GroupLevel3,3,04009,Level of Maternity Care: Access to Maternity Care
4011,"Greenlee, Arizona",Arizona,Greenlee,0,Maternity Care Desert,GroupLevel0,0,04011,Level of Maternity Care: Maternity Care Desert
4012,"La Paz, Arizona",Arizona,La Paz,3,Access to Maternity Care,GroupLevel3,3,04012,Level of Maternity Care: Access to Maternity Care
4013,"Maricopa, Arizona",Arizona,Maricopa,3,Access to Maternity Care,GroupLevel3,3,04013,Level of Maternity Care: Access to Maternity Care
4015,"Mohave, Arizona",Arizona,Mohave,3,Access to Maternity Care,GroupLevel3,3,04015,Level of Maternity Care: Access to Maternity Care
4017,"Navajo, Arizona",Arizona,Navajo,3,Access to Maternity Care,GroupLevel3,3,04017,Level of Maternity Care: Access to Maternity Care
4019,"Pima, Arizona",Arizona,Pima,3,Access to Maternity Care,GroupLevel3,3,04019,Level of Maternity Care: Access to Maternity Care
4021,"Pinal, Arizona",Arizona,Pinal,3,Access to Maternity Care,GroupLevel3,3,04021,Level of Maternity Care: Access to Maternity Care
4023,"Santa Cruz, Arizona",Arizona,Santa Cruz,3,Access to Maternity Care,GroupLevel3,3,04023,Level of Maternity Care: Access to Maternity Care
4025,"Yavapai, Arizona",Arizona,Yavapai,3,Access to Maternity Care,GroupLevel3,3,04025,Level of Maternity Care: Access to Maternity Care
4027,"Yuma, Arizona",Arizona,Yuma,3,Access to Maternity Care,GroupLevel3,3,04027,Level of Maternity Care: Access to Maternity Care
5001,"Arkansas, Arkansas",Arkansas,Arkansas,3,Access to Maternity Care,GroupLevel3,3,05001,Level of Maternity Care: Access to Maternity Care
5003,"Ashley, Arkansas",Arkansas,Ashley,3,Access to Maternity Care,GroupLevel3,3,05003,Level of Maternity Care: Access to Maternity Care
5005,"Baxter, Arkansas",Arkansas,Baxter,3,Access to Maternity Care,GroupLevel3,3,05005,Level of Maternity Care: Access to Maternity Care
5007,"Benton, Arkansas",Arkansas,Benton,3,Access to Maternity Care,GroupLevel3,3,05007,Level of Maternity Care: Access to Maternity Care
5009,"Boone, Arkansas",Arkansas,Boone,3,Access to Maternity Care,GroupLevel3,3,05009,Level of Maternity Care: Access to Maternity Care
5011,"Bradley, Arkansas",Arkansas,Bradley,3,Access to Maternity Care,GroupLevel3,3,05011,Level of Maternity Care: Access to Maternity Care
5013,"Calhoun, Arkansas",Arkansas,Calhoun,0,Maternity Care Desert,GroupLevel0,0,05013,Level of Maternity Care: Maternity Care Desert
5015,"Carroll, Arkansas",Arkansas,Carroll,3,Access to Maternity Care,GroupLevel3,3,05015,Level of Maternity Care: Access to Maternity Care
5017,"Chicot, Arkansas",Arkansas,Chicot,0,Maternity Care Desert,GroupLevel0,0,05017,Level of Maternity Care: Maternity Care Desert
5019,"Clark, Arkansas",Arkansas,Clark,3,Access to Maternity Care,GroupLevel3,3,05019,Level of Maternity Care: Access to Maternity Care
5021,"Clay, Arkansas",Arkansas,Clay,0,Maternity Care Desert,GroupLevel0,0,05021,Level of Maternity Care: Maternity Care Desert
5023,"Cleburne, Arkansas",Arkansas,Cleburne,2,Moderate Access to Care,GroupLevel2,2,05023,Level of Maternity Care: Moderate Access to Care
5025,"Cleveland, Arkansas",Arkansas,Cleveland,0,Maternity Care Desert,GroupLevel0,0,05025,Level of Maternity Care: Maternity Care Desert
5027,"Columbia, Arkansas",Arkansas,Columbia,3,Access to Maternity Care,GroupLevel3,3,05027,Level of Maternity Care: Access to Maternity Care
5029,"Conway, Arkansas",Arkansas,Conway,0,Maternity Care Desert,GroupLevel0,0,05029,Level of Maternity Care: Maternity Care Desert
5031,"Craighead, Arkansas",Arkansas,Craighead,3,Access to Maternity Care,GroupLevel3,3,05031,Level of Maternity Care: Access to Maternity Care
5033,"Crawford, Arkansas",Arkansas,Crawford,0,Maternity Care Desert,GroupLevel0,0,05033,Level of Maternity Care: Maternity Care Desert
5035,"Crittenden, Arkansas",Arkansas,Crittenden,1,Low Access to Care,GroupLevel1,1,05035,Level of Maternity Care: Low Access to Care
5037,"Cross, Arkansas",Arkansas,Cross,0,Maternity Care Desert,GroupLevel0,0,05037,Level of Maternity Care: Maternity Care Desert
5039,"Dallas, Arkansas",Arkansas,Dallas,0,Maternity Care Desert,GroupLevel0,0,05039,Level of Maternity Care: Maternity Care Desert
5041,"Desha, Arkansas",Arkansas,Desha,3,Access to Maternity Care,GroupLevel3,3,05041,Level of Maternity Care: Access to Maternity Care
5043,"Drew, Arkansas",Arkansas,Drew,3,Access to Maternity Care,GroupLevel3,3,05043,Level of Maternity Care: Access to Maternity Care
5045,"Faulkner, Arkansas",Arkansas,Faulkner,3,Access to Maternity Care,GroupLevel3,3,05045,Level of Maternity Care: Access to Maternity Care
5047,"Franklin, Arkansas",Arkansas,Franklin,0,Maternity Care Desert,GroupLevel0,0,05047,Level of Maternity Care: Maternity Care Desert
5049,"Fulton, Arkansas",Arkansas,Fulton,0,Maternity Care Desert,GroupLevel0,0,05049,Level of Maternity Care: Maternity Care Desert
5051,"Garland, Arkansas",Arkansas,Garland,3,Access to Maternity Care,GroupLevel3,3,05051,Level of Maternity Care: Access to Maternity Care
5053,"Grant, Arkansas",Arkansas,Grant,0,Maternity Care Desert,GroupLevel0,0,05053,Level of Maternity Care: Maternity Care Desert
5055,"Greene, Arkansas",Arkansas,Greene,2,Moderate Access to Care,GroupLevel2,2,05055,Level of Maternity Care: Moderate Access to Care
5057,"Hempstead, Arkansas",Arkansas,Hempstead,1,Low Access to Care,GroupLevel1,1,05057,Level of Maternity Care: Low Access to Care
5059,"Hot Spring, Arkansas",Arkansas,Hot Spring,0,Maternity Care Desert,GroupLevel0,0,05059,Level of Maternity Care: Maternity Care Desert
5061,"Howard, Arkansas",Arkansas,Howard,0,Maternity Care Desert,GroupLevel0,0,05061,Level of Maternity Care: Maternity Care Desert
5063,"Independence, Arkansas",Arkansas,Independence,3,Access to Maternity Care,GroupLevel3,3,05063,Level of Maternity Care: Access to Maternity Care
5065,"Izard, Arkansas",Arkansas,Izard,0,Maternity Care Desert,GroupLevel0,0,05065,Level of Maternity Care: Maternity Care Desert
5067,"Jackson, Arkansas",Arkansas,Jackson,3,Access to Maternity Care,GroupLevel3,3,05067,Level of Maternity Care: Access to Maternity Care
5069,"Jefferson, Arkansas",Arkansas,Jefferson,3,Access to Maternity Care,GroupLevel3,3,05069,Level of Maternity Care: Access to Maternity Care
5071,"Johnson, Arkansas",Arkansas,Johnson,3,Access to Maternity Care,GroupLevel3,3,05071,Level of Maternity Care: Access to Maternity Care
5073,"Lafayette, Arkansas",Arkansas,Lafayette,0,Maternity Care Desert,GroupLevel0,0,05073,Level of Maternity Care: Maternity Care Desert
5075,"Lawrence, Arkansas",Arkansas,Lawrence,0,Maternity Care Desert,GroupLevel0,0,05075,Level of Maternity Care: Maternity Care Desert
5077,"Lee, Arkansas",Arkansas,Lee,0,Maternity Care Desert,GroupLevel0,0,05077,Level of Maternity Care: Maternity Care Desert
5079,"Lincoln, Arkansas",Arkansas,Lincoln,0,Maternity Care Desert,GroupLevel0,0,05079,Level of Maternity Care: Maternity Care Desert
5081,"Little River, Arkansas",Arkansas,Little River,0,Maternity Care Desert,GroupLevel0,0,05081,Level of Maternity Care: Maternity Care Desert
5083,"Logan, Arkansas",Arkansas,Logan,0,Maternity Care Desert,GroupLevel0,0,05083,Level of Maternity Care: Maternity Care Desert
5085,"Lonoke, Arkansas",Arkansas,Lonoke,2,Moderate Access to Care,GroupLevel2,2,05085,Level of Maternity Care: Moderate Access to Care
5087,"Madison, Arkansas",Arkansas,Madison,0,Maternity Care Desert,GroupLevel0,0,05087,Level of Maternity Care: Maternity Care Desert
5089,"Marion, Arkansas",Arkansas,Marion,0,Maternity Care Desert,GroupLevel0,0,05089,Level of Maternity Care: Maternity Care Desert
5091,"Miller, Arkansas",Arkansas,Miller,1,Low Access to Care,GroupLevel1,1,05091,Level of Maternity Care: Low Access to Care
5093,"Mississippi, Arkansas",Arkansas,Mississippi,2,Moderate Access to Care,GroupLevel2,2,05093,Level of Maternity Care: Moderate Access to Care
5095,"Monroe, Arkansas",Arkansas,Monroe,0,Maternity Care Desert,GroupLevel0,0,05095,Level of Maternity Care: Maternity Care Desert
5097,"Montgomery, Arkansas",Arkansas,Montgomery,0,Maternity Care Desert,GroupLevel0,0,05097,Level of Maternity Care: Maternity Care Desert
5099,"Nevada, Arkansas",Arkansas,Nevada,0,Maternity Care Desert,GroupLevel0,0,05099,Level of Maternity Care: Maternity Care Desert
5101,"Newton, Arkansas",Arkansas,Newton,3,Access to Maternity Care,GroupLevel3,3,05101,Level of Maternity Care: Access to Maternity Care
5103,"Ouachita, Arkansas",Arkansas,Ouachita,3,Access to Maternity Care,GroupLevel3,3,05103,Level of Maternity Care: Access to Maternity Care
5105,"Perry, Arkansas",Arkansas,Perry,0,Maternity Care Desert,GroupLevel0,0,05105,Level of Maternity Care: Maternity Care Desert
5107,"Phillips, Arkansas",Arkansas,Phillips,0,Maternity Care Desert,GroupLevel0,0,05107,Level of Maternity Care: Maternity Care Desert
5109,"Pike, Arkansas",Arkansas,Pike,0,Maternity Care Desert,GroupLevel0,0,05109,Level of Maternity Care: Maternity Care Desert
5111,"Poinsett, Arkansas",Arkansas,Poinsett,0,Maternity Care Desert,GroupLevel0,0,05111,Level of Maternity Care: Maternity Care Desert
5113,"Polk, Arkansas",Arkansas,Polk,3,Access to Maternity Care,GroupLevel3,3,05113,Level of Maternity Care: Access to Maternity Care
5115,"Pope, Arkansas",Arkansas,Pope,1,Low Access to Care,GroupLevel1,1,05115,Level of Maternity Care: Low Access to Care
5117,"Prairie, Arkansas",Arkansas,Prairie,0,Maternity Care Desert,GroupLevel0,0,05117,Level of Maternity Care: Maternity Care Desert
5119,"Pulaski, Arkansas",Arkansas,Pulaski,3,Access to Maternity Care,GroupLevel3,3,05119,Level of Maternity Care: Access to Maternity Care
5121,"Randolph, Arkansas",Arkansas,Randolph,2,Moderate Access to Care,GroupLevel2,2,05121,Level of Maternity Care: Moderate Access to Care
5123,"Saint Francis, Arkansas",Arkansas,Saint Francis,3,Access to Maternity Care,GroupLevel3,3,05123,Level of Maternity Care: Access to Maternity Care
5125,"Saline, Arkansas",Arkansas,Saline,2,Moderate Access to Care,GroupLevel2,2,05125,Level of Maternity Care: Moderate Access to Care
5127,"Scott, Arkansas",Arkansas,Scott,0,Maternity Care Desert,GroupLevel0,0,05127,Level of Maternity Care: Maternity Care Desert
5129,"Searcy, Arkansas",Arkansas,Searcy,0,Maternity Care Desert,GroupLevel0,0,05129,Level of Maternity Care: Maternity Care Desert
5131,"Sebastian, Arkansas",Arkansas,Sebastian,3,Access to Maternity Care,GroupLevel3,3,05131,Level of Maternity Care: Access to Maternity Care
5133,"Sevier, Arkansas",Arkansas,Sevier,0,Maternity Care Desert,GroupLevel0,0,05133,Level of Maternity Care: Maternity Care Desert
5135,"Sharp, Arkansas",Arkansas,Sharp,0,Maternity Care Desert,GroupLevel0,0,05135,Level of Maternity Care: Maternity Care Desert
5137,"Stone, Arkansas",Arkansas,Stone,0,Maternity Care Desert,GroupLevel0,0,05137,Level of Maternity Care: Maternity Care Desert
5139,"Union, Arkansas",Arkansas,Union,3,Access to Maternity Care,GroupLevel3,3,05139,Level of Maternity Care: Access to Maternity Care
5141,"Van Buren, Arkansas",Arkansas,Van Buren,0,Maternity Care Desert,GroupLevel0,0,05141,Level of Maternity Care: Maternity Care Desert
5143,"Washington, Arkansas",Arkansas,Washington,3,Access to Maternity Care,GroupLevel3,3,05143,Level of Maternity Care: Access to Maternity Care
5145,"White, Arkansas",Arkansas,White,3,Access to Maternity Care,GroupLevel3,3,05145,Level of Maternity Care: Access to Maternity Care
5147,"Woodruff, Arkansas",Arkansas,Woodruff,0,Maternity Care Desert,GroupLevel0,0,05147,Level of Maternity Care: Maternity Care Desert
5149,"Yell, Arkansas",Arkansas,Yell,0,Maternity Care Desert,GroupLevel0,0,05149,Level of Maternity Care: Maternity Care Desert
6001,"Alameda, California",California,Alameda,3,Access to Maternity Care,GroupLevel3,3,06001,Level of Maternity Care: Access to Maternity Care
6003,"Alpine, California",California,Alpine,0,Maternity Care Desert,GroupLevel0,0,06003,Level of Maternity Care: Maternity Care Desert
6005,"Amador, California",California,Amador,3,Access to Maternity Care,GroupLevel3,3,06005,Level of Maternity Care: Access to Maternity Care
6007,"Butte, California",California,Butte,3,Access to Maternity Care,GroupLevel3,3,06007,Level of Maternity Care: Access to Maternity Care
6009,"Calaveras, California",California,Calaveras,2,Moderate Access to Care,GroupLevel2,2,06009,Level of Maternity Care: Moderate Access to Care
6011,"Colusa, California",California,Colusa,0,Maternity Care Desert,GroupLevel0,0,06011,Level of Maternity Care: Maternity Care Desert
6013,"Contra Costa, California",California,Contra Costa,3,Access to Maternity Care,GroupLevel3,3,06013,Level of Maternity Care: Access to Maternity Care
6015,"Del Norte, California",California,Del Norte,3,Access to Maternity Care,GroupLevel3,3,06015,Level of Maternity Care: Access to Maternity Care
6017,"El Dorado, California",California,El Dorado,3,Access to Maternity Care,GroupLevel3,3,06017,Level of Maternity Care: Access to Maternity Care
6019,"Fresno, California",California,Fresno,3,Access to Maternity Care,GroupLevel3,3,06019,Level of Maternity Care: Access to Maternity Care
6021,"Glenn, California",California,Glenn,0,Maternity Care Desert,GroupLevel0,0,06021,Level of Maternity Care: Maternity Care Desert
